id,size,forks,open_issues,subscribers_count,stargazers_count,language_dictionary,owner_type,url,pushed_at,topics,description
129388994,110019,1640,4,521,8449,{'dart': 146},User,https://api.github.com/repos/iampawan/FlutterExampleApps,2019-10-14T16:02:49Z,"['android', 'apps', 'cross-platform', 'dartlang', 'flutter', 'flutter-apps', 'flutter-plugin', 'ios', 'material-design']",example apps basic flutter for flutter devs
47087,3542,1516,127,151,8444,"{'gherkin': 30226, 'ruby': 464777}",Organization,https://api.github.com/repos/carrierwaveuploader/carrierwave,2019-12-27T08:41:04Z,[],classier solution for file uploads for sinatra and other ruby web frameworks
56728437,221577,4019,67,550,8435,"{'asp': 31111, 'batchfile': 10, 'c#': 198568, 'css': 1887430, 'dockerfile': 16274, 'gherkin': 15730, 'html': 38327, 'java': 23426, 'javascript': 2830729, 'php': 9970072, 'powershell': 13167, 'python': 1995, 'ruby': 471, 'shell': 2147, 'tsql': 1246}",Organization,https://api.github.com/repos/docker/labs,2019-12-22T17:26:11Z,"['containers', 'docker', 'docker-compose', 'docker-tutorial', 'dotnet', 'lab', 'orchestration', 'security', 'swarm', 'swarm-mode', 'windows']",this is a collection of tutorials for learning how to use docker with various tools contributions welcome
11423758,10314,397,8,227,8419,"{'dockerfile': 2927, 'makefile': 24338, 'ruby': 79593}",User,https://api.github.com/repos/mame/quine-relay,2019-11-02T05:01:03Z,['quine'],an uroboros program with  and programming languages
199328754,11476,418,10,110,8318,{'javascript': 176020},User,https://api.github.com/repos/cmiscm/leonsans,2019-10-31T06:39:36Z,[],leon sans is a geometric sans serif typeface made with code in  by jongmin kim
5594766,443,677,7,269,8299,"{'go': 174271, 'roff': 114282, 'shell': 815}",Organization,https://api.github.com/repos/PuerkitoBio/goquery,2019-12-09T20:01:06Z,"['goquery', 'html-parsing', 'jquery', 'selector-strings']",a little like that j only in go
16469292,1021,285,40,182,8292,"{'dockerfile': 222, 'go': 136189, 'makefile': 850, 'yacc': 18626}",User,https://api.github.com/repos/dinedal/textql,2019-12-16T06:01:35Z,[],execute sql against structured text like csv or tsv
4697273,32822,1309,222,309,8291,"{'html': 2399, 'javascript': 3521196}",User,https://api.github.com/repos/eduardolundgren/tracking.js,2019-12-15T17:34:28Z,[],a modern approach for computer vision on the web
46383222,26774,762,67,228,8278,"{'objective-c': 521, 'ruby': 3396, 'shell': 45, 'swift': 698931}",Organization,https://api.github.com/repos/IBAnimatable/IBAnimatable,2019-12-08T21:42:12Z,"['animation', 'interface-builder', 'ios', 'protocol-oriented', 'prototyping', 'transition-animation', 'ui-components', 'uikit']",design and prototype customized transition and animation for app store ready apps in interface builder with ibanimatable
2688455,1648,1057,48,181,8274,"{'css': 1754, 'html': 7058, 'javascript': 18321}",User,https://api.github.com/repos/lokesh/color-thief,2019-12-12T15:04:50Z,[],grab the color palette from an image using just javascript works in the browser and in node
13395052,14547,903,101,159,8229,"{'css': 12326, 'html': 3394, 'javascript': 135118}",User,https://api.github.com/repos/mholt/PapaParse,2019-12-18T11:53:17Z,"['csv', 'csv-parser']",fast and powerful csv delimited text parser that gracefully handles large files and malformed input
14930729,1507,1216,337,399,8227,"{'dockerfile': 20181, 'shell': 24038}",Organization,https://api.github.com/repos/boot2docker/boot2docker,2019-12-04T01:05:56Z,[],lightweight linux for docker
45612129,21807,1336,439,208,8225,"{'objective-c': 767559, 'ruby': 760}",User,https://api.github.com/repos/ibireme/YYText,2019-12-19T11:36:55Z,[],powerful text framework for ios to display and edit rich text
24993138,31313,778,43,339,8196,"{'c': 1896667, 'c#': 748417, 'c++': 112790, 'cmake': 17139, 'go': 18563, 'java': 533932, 'javascript': 221093, 'lua': 1706, 'm4': 321, 'makefile': 4450, 'objective-c': 44176, 'python': 150289, 'shell': 18733}",Organization,https://api.github.com/repos/google/brotli,2019-12-22T21:43:39Z,[],brotli compression format
