language,count,count_distribution,bytes,bytes_distribution,percentage_sum,percentage_avg,percentage_std,percentage_median,percentage_max,percentage_min
sqf,1,0.0001406271972999578,3333207,0.00011716436899585783,0.3737747945431596,0.3737747945431596,0.3737747945431596,0.3737747945431596,0.3737747945431596,0.3737747945431596
zephir,4,0.0005625087891998312,2668009,9.378223163465985e-05,0.366626370988135,0.0917,0.1335,0.0418,0.2829830915792421,7.011750913779787e-05
mako,34,0.004781324708198566,4579659,0.00016097795814997427,0.3416787942809172,0.01,0.0407,0.0004,0.23413335684978556,7.692213066827737e-05
g-code,3,0.00042188159189987344,1850311,6.503962122997302e-05,0.3333745308944178,0.1111,0.151,0.0504,0.28298381243020937,3.6472879862121034e-06
idris,2,0.0002812543945999156,1198608,4.213184179482017e-05,0.32668504763618744,0.1633,0.2292,0.1633,0.325392401867294,0.001292645768893403
nesc,1,0.0001406271972999578,1286354,4.5216170107436386e-05,0.32612448391566196,0.32612448391566196,0.32612448391566196,0.32612448391566196,0.32612448391566196,0.32612448391566196
io,5,0.0007031359864997891,825583,2.9019773224017378e-05,0.3223949590122504,0.0645,0.1312,0.0021,0.2985623898299149,9.800773859303157e-07
qmake,63,0.008859513429897343,1282455,4.507911775073761e-05,0.3144695608830072,0.005,0.0077,0.0013,0.032363379557625034,3.9213116547669445e-06
pov-ray sdl,7,0.0009843903810997047,4090758,0.00014379277368154974,0.30467790082834106,0.0435,0.1141,0.0004,0.3023116443985394,2.771807366008107e-06
robotframework,3,0.00042188159189987344,1203799,4.2314308782156245e-05,0.30338125158986307,0.1011,0.163,0.0135,0.2892463161218908,0.0006222476891140549
common workflow language,2,0.0002812543945999156,204213,7.178218240196638e-06,0.301210792864114,0.1506,0.2128,0.1506,0.3010668145731119,0.00014397829100208892
hcl,34,0.004781324708198566,175212,6.1588144452181466e-06,0.2679434240460934,0.0079,0.0214,0.0007,0.12105517845699115,4.614725578713109e-06
meson,20,0.0028125439459991564,1064900,3.7431919632860784e-05,0.2643665700241008,0.0132,0.0275,0.0054,0.1254002230913686,3.368225468007388e-06
smali,4,0.0005625087891998312,350204,1.2309895748996505e-05,0.25773999394623104,0.0644,0.095,0.0251,0.2044441057128408,0.003167247514115944
