language,count,count_distribution,bytes,bytes_distribution,percentage_sum,percentage_avg,percentage_std,percentage_median,percentage_max,percentage_min
openscad,5,0.0007031359864997891,73624,2.5879309334676894e-06,1.035304720242631,0.2071,0.4435,0.0005,1.0,2.3311840679628225e-06
crystal,4,0.0005625087891998312,8127384,0.00028568277276119693,1.026839099667355,0.2567,0.4845,0.022,0.9827523289361338,2.5462779097697643e-05
red,3,0.00042188159189987344,4937583,0.00017355921686222148,1.002671566239175,0.3342,0.4396,0.1705,0.8321976208979431,8.705086488210737e-07
autohotkey,5,0.0007031359864997891,165140,5.8047771698475255e-06,0.9940791475470685,0.1988,0.4422,0.0005,0.9897984132223322,5.040397984784481e-06
wisp,1,0.0001406271972999578,327210,1.1501641865967112e-05,0.9934661557799624,0.9934661557799624,0.9934661557799624,0.9934661557799624,0.9934661557799624,0.9934661557799624
gdscript,1,0.0001406271972999578,1064636,3.742263986313304e-05,0.9917068685907079,0.9917068685907079,0.9917068685907079,0.9917068685907079,0.9917068685907079,0.9917068685907079
moonscript,5,0.0007031359864997891,564970,1.9859058723802572e-05,0.9589448620016202,0.1918,0.2617,0.0119,0.5446953532399756,0.00046165920317621533
llvm,25,0.003515679932498945,140338658,0.004932994053563278,0.9328531623240327,0.0373,0.106,0.0035,0.49263804023785535,6.617258204636644e-06
dm,1,0.0001406271972999578,19077408,0.0006705831562205798,0.9099579235144183,0.9099579235144183,0.9099579235144183,0.9099579235144183,0.9099579235144183,0.9099579235144183
cartocss,4,0.0005625087891998312,390719,1.3734024046419132e-05,0.8759765118615346,0.219,0.4183,0.0147,0.8462618895076635,0.00034394721288170103
stan,3,0.00042188159189987344,22032986,0.0007744736230856858,0.8707335635777111,0.2902,0.5027,0.0,0.8706709675507189,2.5363259364149174e-05
antlr,20,0.0028125439459991564,3864748,0.00013584837687788474,0.8433135243853849,0.0422,0.1787,0.0011,0.8014012785195144,2.3698117669246684e-05
f*,4,0.0005625087891998312,8424469,0.0002961255015095568,0.8287767727684007,0.2072,0.3115,0.0847,0.6592630504660771,0.00021335193971446374
nim,4,0.0005625087891998312,10841320,0.0003810793679726982,0.8210130396750082,0.2053,0.3778,0.0251,0.7708158628741297,6.264554080007709e-05
coq,9,0.0012656447756996202,11007261,0.0003869123008075151,0.7957439285648142,0.0884,0.1589,0.0038,0.43965468297527704,2.4445741069423976e-06
sqlpl,28,0.003937561524398819,1162078,4.084778880938642e-05,0.7589104043447273,0.0271,0.1397,0.0006,0.7400384721077219,4.617431526009069e-06
arc,7,0.0009843903810997047,681408,2.3951929282738662e-05,0.7481823749577329,0.1069,0.2815,0.0005,0.7453607814771933,5.325990493022876e-07
frege,1,0.0001406271972999578,2899880,0.00010193264635640937,0.6782613617572467,0.6782613617572467,0.6782613617572467,0.6782613617572467,0.6782613617572467,0.6782613617572467
lex,92,0.012937702151596118,4487969,0.00015775499570172842,0.6772327377860154,0.0074,0.0209,0.0012,0.124667414362927,1.1338871150209958e-05
objective-j,3,0.00042188159189987344,6997983,0.0002459836015101193,0.6395595657854152,0.2132,0.3691,0.0001,0.6394210572632717,9.804878024866151e-06
fortran,25,0.003515679932498945,56275653,0.0019781253830244727,0.6309327855049998,0.0252,0.0984,0.001,0.49510590687137357,7.935266432713261e-06
postscript,25,0.003515679932498945,1325971,4.6608733127527515e-05,0.6205282590150741,0.0248,0.0777,0.0005,0.33969226933788843,1.7257765260912387e-07
chapel,2,0.0002812543945999156,18267384,0.0006421102918495699,0.5902784601690817,0.2951,0.4166,0.2951,0.5897244691252702,0.0005539910438114584
jsonnet,6,0.0008437631837997469,1057329,3.716579411540338e-05,0.5861772959213357,0.0977,0.2274,0.0025,0.5616666714552919,7.198914550104446e-05
ren'py,1,0.0001406271972999578,5978674,0.00021015423483808276,0.5539611073822145,0.5539611073822145,0.5539611073822145,0.5539611073822145,0.5539611073822145,0.5539611073822145
inno setup,51,0.007171987062297849,795507,2.7962582487912655e-05,0.5220358771442768,0.0102,0.0435,0.001,0.3084275024550824,4.445155265723911e-05
zeek,4,0.0005625087891998312,3920252,0.00013779937816185724,0.5024426003907574,0.1256,0.2338,0.0128,0.4759354065911178,0.0009694843266700522
asp,41,0.00576571508929827,4149945,0.00014587323478335287,0.46086417345164427,0.0112,0.0551,0.0002,0.3530855569145263,1.9791164359955016e-06
plsql,51,0.007171987062297849,2845176,0.00010000976558676338,0.46076271628436466,0.009,0.0321,0.0011,0.1766119850747509,3.980935102746194e-06
applescript,31,0.004359443116298692,80322,2.823369939666301e-06,0.4593109197517563,0.0148,0.0436,0.0004,0.18918082094833688,3.545783966031293e-06
visual basic .net,22,0.003093798340599072,72158705,0.0025364248721676304,0.45435789333326837,0.0207,0.0757,0.0011,0.35767612428681345,4.281972748058712e-06
hy,5,0.0007031359864997891,216244,7.601115625024273e-06,0.44836929650866747,0.0897,0.1982,0.0013,0.4442661301935185,0.0005309080836526476
shaderlab,8,0.0011250175783996624,1011363,3.5550059663488576e-05,0.4366007051114144,0.0546,0.1225,0.0155,0.3570707335372392,0.00019676122302368046
freemarker,41,0.00576571508929827,4904407,0.0001723930591331016,0.4169964410366565,0.0102,0.0245,0.0014,0.13075378759448883,4.698818082271585e-07
nu,4,0.0005625087891998312,382700,1.3452151040938889e-05,0.4004270364385171,0.1001,0.1992,0.0005,0.39885661097570435,0.0004847421633350261
terra,6,0.0008437631837997469,590393,2.07526935184558e-05,0.3844434253996512,0.0641,0.1026,0.0178,0.262690044139284,2.4054794281186265e-09
ragel,19,0.0026719167486991984,739865,2.6006730415218842e-05,0.3774057295814028,0.0199,0.0333,0.006,0.1223403353508638,2.915042571519677e-05
