combo_id,combination,count,distribution,language_used
246,haskell shell,8,0.0,2
247,ruby vim script,8,0.0,3
248,dockerfile go makefile,8,0.0,3
249,objective-c shell,8,0.0,2
250,java tsql,8,0.0,2
251,gherkin html ruby,8,0.0,3
252,java typescript,8,0.0,2
253,html java scala,8,0.0,3
254,dockerfile php,8,0.0,2
255,html shell,8,0.0,2
256,assembly c c++ python,8,0.0,4
257,css dockerfile html javascript python,8,0.0,5
258,c c++ cmake objective-c python,8,0.0,5
259,c c++ objective-c objective-c++,8,0.0,4
260,roff ruby,8,0.0,2
261,c c++ cuda,8,0.0,3
262,assembly c c++ objective-c,7,0.0,4
263,css html java shell,7,0.0,4
264,powershell python shell,7,0.0,3
265,css go html javascript shell,7,0.0,5
266,coffeescript html ruby,7,0.0,3
267,c# css,7,0.0,2
268,ruby shell swift,7,0.0,3
269,c++ objective-c objective-c++,7,0.0,3
270,shell swift,7,0.0,2
271,c++ cuda,7,0.0,2
272,javascript vue,7,0.0,2
273,coffeescript css,7,0.0,2
274,jupyter notebook python shell,7,0.0,4
275,c ruby shell,7,0.0,3
276,css javascript makefile,7,0.0,3
277,makefile ruby shell,7,0.0,3
278,batchfile c# powershell shell,7,0.0,4
279,c++ html javascript,7,0.0,3
280,c c++ cmake javascript,7,0.0,4
281,html scala,7,0.0,2
282,css html javascript scala shell,7,0.0,5
283,makefile ruby,7,0.0,2
284,css html javascript scala,7,0.0,4
285,dockerfile html ruby shell,7,0.0,4
286,gherkin ruby shell,7,0.0,3
287,perl python shell,7,0.0,3
288,c c++ cmake makefile shell,7,0.0,5
289,python tex,7,0.0,2
290,c c# c++,7,0.0,3
291,batchfile java shell,7,0.0,3
292,c c++ makefile objective-c shell,7,0.0,5
293,assembly c c++ makefile python,7,0.0,5
294,c++ cmake java,7,0.0,3
295,dockerfile html ruby,7,0.0,3
296,c++ java javascript,6,0.0,3
297,html javascript python typescript,6,0.0,4
298,css html javascript python typescript,6,0.0,5
299,groovy java shell,6,0.0,3
300,c# c++ java,6,0.0,3
301,c++ html javascript python,6,0.0,4
302,css html java kotlin,6,0.0,4
303,css go,6,0.0,2
304,batchfile css html javascript shell,6,0.0,5
305,c c++ lua makefile,6,0.0,4
306,c java shell,6,0.0,3
307,python shell vim script,6,0.0,4
308,php python shell,6,0.0,3
309,html jupyter notebook python,6,0.0,4
310,dockerfile html javascript,6,0.0,3
311,objective-c objective-c++,6,0.0,2
312,c++ cmake makefile,6,0.0,3
313,assembly c makefile,6,0.0,3
314,html javascript ruby shell,6,0.0,4
315,c c++ html java,6,0.0,4
316,html javascript vue,6,0.0,3
317,c c++ cmake objective-c objective-c++,6,0.0,5
318,php smarty,6,0.0,2
319,c c++ m4 php,6,0.0,4
320,coffeescript css javascript ruby,6,0.0,4
321,batchfile shell,6,0.0,2
322,javascript php tsql,6,0.0,3
323,c go shell,6,0.0,3
324,dockerfile makefile ruby shell,6,0.0,4
325,c++ jupyter notebook python,6,0.0,4
326,groovy java kotlin,6,0.0,3
327,c++ html,6,0.0,2
328,gherkin python,6,0.0,2
329,c# java,6,0.0,2
330,c++ perl,6,0.0,2
331,c m4 makefile,6,0.0,3
332,c c++ cmake lua,6,0.0,4
333,html javascript makefile python,6,0.0,4
334,groovy html java javascript,6,0.0,4
335,c c++ ruby,6,0.0,3
336,c c++ m4 shell,6,0.0,4
337,c# tsql,6,0.0,2
338,javascript scala,6,0.0,2
339,c c++ cmake makefile,6,0.0,4
