language,count,count_distribution,bytes,bytes_distribution,percentage_avg,percentage_std,percentage_median,percentage_max,percentage_min
nim,1,4.269854824935952e-05,10817942,0.0005401992352448608,0.7708158628741297,0.7708158628741297,0.7708158628741297,0.7708158628741297,0.7708158628741297
vcl,4,0.0001707941929974381,70241,3.5075187575265488e-06,0.0424,0.0828,0.0013,0.16655642617278926,0.00023608536840641405
smalltalk,23,0.000982066609735269,1959263,9.783675806762059e-05,0.0085,0.019,0.0001,0.07508392831990456,7.372795210443488e-09
srecode template,2,8.539709649871905e-05,40333,2.0140481207175053e-06,0.0032,0.0046,0.0032,0.00647680123412314,1.2699745645448277e-05
groff,2,8.539709649871905e-05,17205,8.591401065366989e-07,0.006,0.0011,0.006,0.006700283257057204,0.005206723615762488
ags script,2,8.539709649871905e-05,826837,4.128851079735452e-05,0.0236,0.0154,0.0236,0.0344813588415748,0.012718709181739892
stata,4,0.0001707941929974381,158790,7.929256467129463e-06,0.0625,0.1172,0.0047,0.23834216683378695,0.0021748543296728996
terra,4,0.0001707941929974381,590389,2.9481364042900037e-05,0.0961,0.116,0.0572,0.262690044139284,0.007391150861930635
harbour,1,4.269854824935952e-05,520,2.596645483284414e-08,5.857894244731556e-05,5.857894244731556e-05,5.857894244731556e-05,5.857894244731556e-05,5.857894244731556e-05
elm,6,0.00025619128949615715,2351857,0.00011744113185347755,0.2425,0.2274,0.2016,0.5744819709577419,0.0010953017973298785
ragel in ruby host,1,4.269854824935952e-05,128173,6.400381567865638e-06,0.011255287784658726,0.011255287784658726,0.011255287784658726,0.011255287784658726,0.011255287784658726
hiveql,3,0.00012809564474807857,5593,2.79289195923264e-07,0.0015,0.0025,0.0001,0.00447265034753702,6.45365687666475e-05
protocol buffer,3,0.00012809564474807857,192576,9.616376934403448e-06,0.0307,0.0477,0.0063,0.08568648727320577,0.00023958646243902934
tla,1,4.269854824935952e-05,5169,2.581165481364834e-07,0.00319633432581091,0.00319633432581091,0.00319633432581091,0.00319633432581091,0.00319633432581091
autohotkey,1,4.269854824935952e-05,1629,8.134491331289059e-08,0.0034878193956159246,0.0034878193956159246,0.0034878193956159246,0.0034878193956159246,0.0034878193956159246
raml,2,8.539709649871905e-05,64813,3.236468917463706e-06,0.0042,0.0058,0.0042,0.008283218556712425,6.449100115033105e-05
robotframework,1,4.269854824935952e-05,1055148,5.2689332469165056e-05,0.2892463161218908,0.2892463161218908,0.2892463161218908,0.2892463161218908,0.2892463161218908
q,2,8.539709649871905e-05,16752,8.365193295380867e-07,0.0006,0.0004,0.0006,0.0009044053724983186,0.0003069191919802631
red,2,8.539709649871905e-05,4937187,0.00024654085237847163,0.5013,0.4679,0.5013,0.8321976208979431,0.17047307483258298
pony,2,8.539709649871905e-05,11685402,0.0005835162754550511,0.5824,0.5416,0.5824,0.9654109278978981,0.19948219979662543
yara,5,0.0002134927412467976,619419,3.093099131943362e-05,0.172,0.3766,0.0007,0.8455502172442114,2.515677021902839e-05
g-code,2,8.539709649871905e-05,1849790,9.237017016393608e-05,0.1667,0.1645,0.1667,0.28298381243020937,0.05038707117622228
processing,7,0.00029888983774551667,192707,9.622918483601723e-06,0.0066,0.0071,0.0049,0.021272527829062735,0.0001215230568944482
nix,23,0.000982066609735269,264284,1.3197151055852655e-05,0.0108,0.0287,0.0009,0.12842372403421373,1.5816519291854687e-05
xtend,1,4.269854824935952e-05,104341,5.210318968680367e-06,0.0013704154876322764,0.0013704154876322764,0.0013704154876322764,0.0013704154876322764,0.0013704154876322764
coq,5,0.0002134927412467976,11005429,0.0005495614904703328,0.159,0.191,0.0566,0.43965468297527704,0.0037780196143390268
zeek,3,0.00012809564474807857,3920210,0.00019575760750050754,0.1672,0.2677,0.0243,0.4759354065911178,0.0011988168577452374
api blueprint,2,8.539709649871905e-05,27900,1.3932001727622145e-06,0.0011,0.0002,0.0011,0.0012832602064913683,0.0009983156878516947
arduino,1,4.269854824935952e-05,1231,6.147058826775218e-08,0.003109245395487932,0.003109245395487932,0.003109245395487932,0.003109245395487932,0.003109245395487932
verilog,4,0.0001707941929974381,1563944,7.809631007134153e-05,0.0528,0.0865,0.0147,0.18202640091981798,5.175189027584519e-06
systemverilog,4,0.0001707941929974381,1117500,5.580291014558332e-05,0.0419,0.0784,0.0041,0.15951508952622562,5.915451581677016e-05
haxe,8,0.0003415883859948762,18904714,0.0009440161580939159,0.3951,0.3769,0.4178,0.9947631008417207,3.2423801529878633e-05
frege,1,4.269854824935952e-05,2899880,0.00014480692892436168,0.6782613617572467,0.6782613617572467,0.6782613617572467,0.6782613617572467,0.6782613617572467
forth,6,0.00025619128949615715,166899,8.334183356051642e-06,0.0022,0.0038,0.0006,0.009723936558947887,2.7190018567827244e-05
pike,1,4.269854824935952e-05,583,2.9112390706823333e-08,0.00013964326057192897,0.00013964326057192897,0.00013964326057192897,0.00013964326057192897,0.00013964326057192897
emberscript,2,8.539709649871905e-05,100463,5.0166691382154244e-06,0.0037,0.0033,0.0037,0.006029735826773966,0.0014003635104484918
idris,1,4.269854824935952e-05,1198552,5.985028148618271e-05,0.325392401867294,0.325392401867294,0.325392401867294,0.325392401867294,0.325392401867294
vhdl,2,8.539709649871905e-05,1008439,5.035689566380483e-05,0.0865,0.0907,0.0865,0.15063420183378967,0.022336882670052502
riot,1,4.269854824935952e-05,52,2.596645483284414e-09,2.866552868192867e-06,2.866552868192867e-06,2.866552868192867e-06,2.866552868192867e-06,2.866552868192867e-06
openscad,3,0.00012809564474807857,32440,1.6199072976489692e-06,0.0118,0.0198,0.0005,0.03464718684162064,0.00017552662098916735
stan,3,0.00012809564474807857,22032986,0.0011002279534647833,0.2902,0.5027,0.0,0.8706709675507189,2.5363259364149174e-05
