id,size,forks,open_issues,subscribers_count,stargazers_count,language_dictionary,owner_type,url,pushed_at,topics,description
12559993,289,26,6,10,225,"{'css': 9037, 'objective-c': 87621, 'shell': 221}",User,https://api.github.com/repos/icanzilb/MTLog,2013-11-21T15:37:53Z,[],nslog replacement for coders
7566515,26192,98,2,21,225,"{'c': 9990505, 'c#': 1386095, 'c++': 7963598, 'java': 1068857, 'javascript': 2111, 'objective-c': 54859, 'perl': 237411, 'python': 138390, 'rouge': 438, 'shell': 58004}",Organization,https://api.github.com/repos/mirror/firmware-mod-kit,2013-04-17T01:15:58Z,[],http and and firmware mod kit googlecode com and svn and trunk
2664752,402,19,1,9,225,{'javascript': 102915},User,https://api.github.com/repos/ewebdev/backbone.notifier,2013-05-03T19:10:01Z,[],notifications framework for backbone js
7229343,304,14,5,17,225,{'objective-c': 46691},User,https://api.github.com/repos/stevederico/SDScaffoldKit,2013-04-28T21:36:09Z,[],scaffolding for your core data models
2033348,210,21,13,7,225,"{'c': 149, 'haskell': 30336}",User,https://api.github.com/repos/bos/pronk,2013-01-11T16:41:46Z,[],a small command line application for load testing web servers think of it as similar to httperf or only more modern and simpler to deal with
1237805,112,22,3,9,224,{'ruby': 65951},User,https://api.github.com/repos/vinibaggio/outpost,2013-09-05T18:04:57Z,[],monitor your service s availability through a clean dsl
11505912,68,65,1,10,224,{'javascript': 5269},Organization,https://api.github.com/repos/codrops/OnScrollEffectLayout,2013-07-18T15:11:31Z,[],an on scroll effect template that animates the sides of sections once they are in the viewport
6382493,4199,131,7,29,224,{'java': 22599},User,https://api.github.com/repos/adamrocker/simple-side-drawer,2013-06-03T01:33:04Z,[],simple library which enable you to add a drawer slide out navigation to your android application
916970,269,118,8,19,223,{'python': 14608},User,https://api.github.com/repos/gregghz/Watcher,2013-09-14T00:39:00Z,[],watcher is a daemon that watches specified files and folders for changes and fires commands in response to those changes it is similar to configuration uses a simpler to read yaml file instead of a plain text file it s also written in making it easier to hack
451481,903356,75,0,20,223,"{'c++': 25598, 'css': 54106, 'd': 346, 'javascript': 711744, 'objective-c': 2274575, 'python': 11006, 'shell': 631}",User,https://api.github.com/repos/djw/core-plot,2013-12-24T11:54:29Z,[],unofficial core plot mirror official version now here https and and github com and core plot and core plot
1439382,987,35,0,13,223,{'javascript': 82054},User,https://api.github.com/repos/dresende/node-orm-old,2013-04-24T22:45:29Z,[],nodejs object relational mapping
9198813,419,33,0,16,223,{'java': 5691},User,https://api.github.com/repos/JakeWharton/adjacent-fragment-pager-sample,2013-04-04T15:22:15Z,[],demonstrates how to manage two fragments where portrait displays them in a viewpager and landscape displays them side by side
8453404,2277,43,5,40,223,"{'javascript': 243440, 'perl': 938, 'php': 219636, 'shell': 1357}",User,https://api.github.com/repos/raftalks/ravel,2013-07-02T09:23:26Z,[],cms developed with laravel  php framework and angularjs
1565025,930,47,5,18,222,"{'erlang': 92975, 'perl': 19276, 'python': 1073, 'shell': 37224}",User,https://api.github.com/repos/rzezeski/try-try-try,2013-04-09T03:43:14Z,[],ryan zezeski s working blog
11758219,506,46,5,15,222,"{'coffeescript': 2153, 'css': 139183}",Organization,https://api.github.com/repos/divshot/themestrap,2013-10-21T18:28:38Z,[],a simple starter kit for constructing twitter bootstrap  and themes
6328341,14415,79,0,25,222,{'c': 6127},User,https://api.github.com/repos/kennyyu/workshop,2013-01-30T23:35:48Z,[],technical interview workshop
7717751,127,28,1,17,221,"{'c++': 1344, 'objective-c': 14767}",User,https://api.github.com/repos/landonf/libevil_patch,2013-01-20T15:46:12Z,[],an implementation of function patching for without the use of w and x pages
1434717,431,106,0,29,221,"{'c': 782341, 'c++': 6023, 'java': 16898, 'objective-c': 5778, 'shell': 109}",User,https://api.github.com/repos/yhirano/Mp3VoiceRecorderSampleForAndroid,2013-07-26T17:05:20Z,[],mp voice recorder sample for android
3973266,850,29,24,5,221,{'ruby': 88318},User,https://api.github.com/repos/drnic/appscrolls,2013-06-24T23:49:30Z,[],the app scrolls is a magical tool to generate new rails apps and modify existing rails applications coming to include your powerful magic
1611009,52535,66,44,31,221,"{'java': 2082163, 'javascript': 124105, 'shell': 8205}",Organization,https://api.github.com/repos/Mach5/supersonic,2013-02-22T15:30:34Z,[],open source web based media streamer and jukebox fork of subsonic supports aac and other streamable audio and video formats runs on gnu and linux and mac using java
15434820,143,14,1,10,221,{'python': 1335},User,https://api.github.com/repos/azac/sublime-howdoi-direct-paste,2013-12-30T07:59:31Z,[],search stackoverflow and paste code snippets without leaving sublime text
108972,797,39,0,16,220,{'objective-c': 61691},User,https://api.github.com/repos/sschroed/git-phone,2013-03-07T16:28:28Z,[],an experimental iphone app to stay connected with github on the go
11451430,178,89,3,17,219,"{'processing': 15138, 'python': 26806}",User,https://api.github.com/repos/unorthodox123/RacialDotMap,2013-08-09T15:47:42Z,[],python code for creating a dataset for a dot density map for every person in the u s color coded by race and ethnicity
642536,218,58,18,7,219,{'ruby': 41662},User,https://api.github.com/repos/jugyo/eeepub,2013-03-21T03:24:11Z,[],eeepub is a ruby epub generator
179067,1235,54,19,3,218,"{'css': 6816, 'javascript': 522, 'ruby': 113961, 'shell': 5514}",User,https://api.github.com/repos/fcoury/octopi,2013-10-30T20:04:08Z,[],a ruby interface to github api v
254184,86,20,8,9,218,{'ruby': 16020},User,https://api.github.com/repos/freels/table_migrator,2013-07-25T06:05:10Z,[],zero downtime table migrations in mysql
9276490,188,32,0,18,218,{'objective-c': 22720},User,https://api.github.com/repos/skizilkaya/SKNavigationController,2013-09-07T12:34:10Z,[],custom uinavigationcontroller
9805058,192,43,1,33,217,{'java': 7108},User,https://api.github.com/repos/mikedg1/winky,2013-11-24T19:30:20Z,[],a way to enable wink to take a photo with google glass
8284020,2102,54,8,16,217,{'javascript': 1638008},User,https://api.github.com/repos/akrennmair/libmp3lame-js,2013-10-22T21:25:25Z,[],port of libmplame to javascript using emscripten
666669,1061,33,4,13,216,{'java': 623176},User,https://api.github.com/repos/krukow/clj-ds,2013-10-24T18:53:22Z,[],clojure s data structures modified for use outside of clojure
2330389,249,12,0,5,216,{'javascript': 2243},Organization,https://api.github.com/repos/rezitech/syze,2013-06-16T17:29:46Z,[],think media queries powered by javascript
505633,20689,26,0,6,216,{'javascript': 126594},User,https://api.github.com/repos/blaine/rePublish,2013-04-15T13:22:56Z,[],pure javascript epub reader
4744047,115,26,2,17,216,{'go': 3036},Organization,https://api.github.com/repos/bitly/go-notify,2013-02-17T04:46:04Z,[],a go package to observe notable events in a decoupled fashion
3225624,11289,16,2,9,215,"{'javascript': 4002110, 'shell': 1029}",User,https://api.github.com/repos/erichocean/blossom,2013-08-18T16:07:01Z,[],blossom is an ios style user interface framework for the web javascript canvas and implicit animation
5651915,450,6,0,24,215,"{'c': 2801, 'python': 95255}",User,https://api.github.com/repos/benoitc/flower,2013-09-14T08:00:58Z,[],collection of modules to build distributed and reliable concurrent systems in python
10026965,99880,28,5,16,214,{'python': 30730},User,https://api.github.com/repos/thomasweng15/E.V.E.,2013-07-22T06:31:50Z,[],a talking jarvis program written in python
7717823,377,40,3,19,214,{'objective-c': 124513},User,https://api.github.com/repos/sehone/IIIThumbFlow,2013-01-20T15:58:24Z,[],iiithumbflow is a simple ios view component for presenting images in a vertical flow style
10726488,15325,56,1,10,214,{'python': 4447},User,https://api.github.com/repos/arnabdotorg/Playing-Card-Recognition,2013-06-17T22:10:49Z,[],nave playing card recognition using opencv and python
8490403,155,5,1,10,214,{'objective-c': 4358},User,https://api.github.com/repos/th-in-gs/THIn,2013-12-05T15:33:48Z,[],three easy ways to do things later in cocoa and cocoa touch
204910,449,96,15,35,214,{'shell': 25047},User,https://api.github.com/repos/esden/summon-arm-toolchain,2013-06-11T00:05:14Z,[],this project is not under active development any more consider using https and and launchpad net and gcc arm embedded instead a very simple build script for bare metal arm toolchain no linux
